cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Atlanta,San Francisco,12060,41860,0.06672056124638774,46690.0,3417103.2174032847,0.16519790122567854,1340807.0,0.0019954095517625836,43.23359194453615,6301.470860045296,0.9142450166635431,0.7807215332581736,0.2354641211515779
Houston,Philadelphia,26420,37980,0.0732772130387074,7494.0,2136102.705554816,0.1197041352936319,877189.0,0.005987582057494278,29.94284827800186,5314.940357144189,0.9454220832252989,0.8058252427184466,0.13525175576278797
Miami,San Diego,33100,41740,0.03319463480234866,27889.0,3599840.1374017303,0.09882249645515268,2839699.0,0.02745019560842621,,7506.659043809037,0.9539688046005024,0.7845894263217098,0.02487441465046547
Boston,Dallas,14460,19100,0.047884672369614446,23719.0,2505718.0960114053,0.11292409442964656,2695755.0,0.0018784608964443894,2.3103646587714053,8656.17207546153,0.9179955248343882,0.7775280898876404,0.1636561225298956
Miami,Seattle,33100,42660,0.1265939839467569,38121.0,4314333.309092158,0.10813891357896385,2119571.0,0.051552363889690866,24.140974297668862,6558.938100028083,0.9370467330103878,0.7894006659267481,0.09091100655787276
Los Angeles,Minneapolis,31080,33460,0.18120069293319402,5568.0,2441106.8753710273,0.11910715657668153,9510737.0,0.059959367828130605,,18220.948685510313,0.929899363828143,0.7603238866396761,0.08475296661179788
Phoenix,Seattle,38060,42660,0.029769705476862154,27271.0,1787896.7041341416,0.09472733661780913,827070.0,0.04778423404872212,23.731585466556567,3186.562254216917,0.9539207823481436,0.7933600457927876,0.172108459047577
Houston,Tampa,26420,45300,0.051267691501938446,10864.0,1273352.9804459687,0.08921775728321414,3946965.0,0.05749353823468706,4.7102198455139614,7862.34659627773,0.9673935958277402,0.8023850085178875,0.017483552305361028
Houston,San Francisco,26420,41860,0.03707596489962089,51254.0,2631618.2922131065,0.17526678369192186,2373232.0,0.006977855449701975,25.859440559440557,7569.633478577414,0.9103971995325334,0.7822602928985908,0.29525951909195564
Charlotte,Washington,16740,47900,0.01618120042213366,43626.0,500776.36300400784,0.0652683709922685,3724833.0,0.03867895573345459,10.578947368421055,6347.44027147952,0.9619900487728227,0.7589635432359144,0.3122235042695558
